Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Region,Customer_Segment,Product_Category,Product_Container
1,21,2781.82,1,-695.26,5,0,0,1
1,35,3389.93,1,737.94,2,1,2,1
0,7,2039.56,1,-329.49,2,0,0,1
2,6,905.94,1,-4.19,2,2,2,1
4,24,1168.15,1,-743.96,2,3,0,1
0,45,237.28,1,-2088.68,2,3,0,1
3,17,1368.14,1,171.26,2,2,0,1
2,21,4429.69,1,983.55,1,3,1,1
0,40,19109.61,1,-379.29,0,2,1,1
0,17,2475.08,1,958.8,0,0,2,1
1,48,446.53,1,-261.45,0,0,2,1
0,27,2780.88,1,595.38,0,1,2,1
3,4,198.72,1,-34.43,0,1,2,1
3,15,4012.58,1,-425.14,1,1,0,1
0,21,2954.14,1,-522.94,4,0,0,1
0,32,1974.66,1,-929.68,4,3,0,1
2,31,16066.85,0,7416.43,2,1,1,1
0,32,1282.49,0,154.74,0,1,2,1
1,24,4636.62,0,-318.45,0,1,2,1
0,7,497.2,0,-219.61,0,1,0,1
3,8,27663.92,0,-391.92,0,1,1,1
3,37,2756.17,0,-1561.72,1,1,2,1
0,16,1684.96,0,-553.06,1,1,0,1
4,34,2788.04,0,-849.18,1,1,0,1
4,9,89.55,0,-375.64,5,0,0,1
2,22,6396.2,0,1902.24,5,0,2,1
1,44,10087.6,0,3387.35,2,0,2,1
2,15,1519.9,0,399.37,2,0,2,1
2,26,3758.77,0,753.61,2,0,2,1
4,35,17387.65,0,6907.61,2,0,1,1
4,44,6040.22,0,-942.5,2,0,0,1
3,4,97.57,0,-27.31,2,0,2,1
0,19,12616.2,0,2808.22,2,0,1,1
1,41,8387.1,0,2113.95,2,0,2,1
1,31,8901.78,0,2795.36,2,0,2,1
3,44,5735.79,0,828.27,2,0,2,1
1,1,305.82,0,-232.24,1,0,0,1
2,9,6420.87,0,-690.21,1,0,1,1
0,27,566.12,0,-19.33,1,0,2,1
3,5,2543.95,0,-1011.32,1,0,1,1
1,24,1482.81,0,-678.63,1,0,0,1
1,23,6693.28,0,40.32,1,0,2,1
3,21,4242.76,0,340.88,1,0,1,1
1,1,3672.89,0,-3061.82,1,0,1,1
0,23,10791.38,0,-234.79,1,0,1,1
2,38,23255.61,0,-734.33,1,0,1,1
1,4,62.45,0,-141.76,1,0,0,1
1,5,66.43,0,-9.45,1,0,2,1
1,10,1961.68,0,-367.0,3,0,2,1
0,43,858.53,0,-97.54,3,0,2,1
