Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Region,Customer_Segment,Product_Category,Product_Container
High,21,2781.82,Express Air,-695.26,Nunavut,Corporate,Office Supplies,Large Box
High,35,3389.93,Express Air,737.94,Northwest Territories,Consumer,Furniture,Large Box
Not Specified,7,2039.56,Express Air,-329.49,Northwest Territories,Corporate,Office Supplies,Large Box
Low,6,905.94,Express Air,-4.19,Northwest Territories,Home Office,Furniture,Large Box
Medium,24,1168.15,Express Air,-743.96,Northwest Territories,Small Business,Office Supplies,Large Box
Not Specified,45,237.28,Express Air,-2088.68,Northwest Territories,Small Business,Office Supplies,Large Box
Critical,17,1368.14,Express Air,171.26,Northwest Territories,Home Office,Office Supplies,Large Box
Low,21,4429.69,Express Air,983.55,Atlantic,Small Business,Technology,Large Box
Not Specified,40,19109.61,Express Air,-379.29,West,Home Office,Technology,Large Box
Not Specified,17,2475.08,Express Air,958.8,West,Corporate,Furniture,Large Box
High,48,446.53,Express Air,-261.45,West,Corporate,Furniture,Large Box
Not Specified,27,2780.88,Express Air,595.38,West,Consumer,Furniture,Large Box
Critical,4,198.72,Express Air,-34.43,West,Consumer,Furniture,Large Box
Critical,15,4012.58,Express Air,-425.14,Atlantic,Consumer,Office Supplies,Large Box
Not Specified,21,2954.14,Express Air,-522.94,Ontario,Corporate,Office Supplies,Large Box
Not Specified,32,1974.66,Express Air,-929.68,Ontario,Small Business,Office Supplies,Large Box
Low,31,16066.85,Regular Air,7416.43,Northwest Territories,Consumer,Technology,Large Box
Not Specified,32,1282.49,Regular Air,154.74,West,Consumer,Furniture,Large Box
High,24,4636.62,Regular Air,-318.45,West,Consumer,Furniture,Large Box
Not Specified,7,497.2,Regular Air,-219.61,West,Consumer,Office Supplies,Large Box
Critical,8,27663.92,Regular Air,-391.92,West,Consumer,Technology,Large Box
Critical,37,2756.17,Regular Air,-1561.72,Atlantic,Consumer,Furniture,Large Box
Not Specified,16,1684.96,Regular Air,-553.06,Atlantic,Consumer,Office Supplies,Large Box
Medium,34,2788.04,Regular Air,-849.18,Atlantic,Consumer,Office Supplies,Large Box
Medium,9,89.55,Regular Air,-375.64,Nunavut,Corporate,Office Supplies,Large Box
